Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-11-04 00:00:00+05:30,118.43989203966476,140.37772522879945,118.43989203966476,139.42124938964844,479716245,0.0,0.0
2010-11-08 00:00:00+05:30,143.1861165320826,144.8548600570702,134.1097982785779,134.61856079101562,46932779,0.0,0.0
2010-11-09 00:00:00+05:30,134.374340299779,135.6971227139783,132.27824141993182,132.70559692382812,23741956,0.0,0.0
2010-11-10 00:00:00+05:30,132.44102551767293,133.4178468417313,130.26351996092475,131.38279724121094,21057129,0.0,0.0
2010-11-11 00:00:00+05:30,131.46421376108287,137.14200752812582,130.99615480309103,133.72311401367188,26548372,0.0,0.0
2010-11-12 00:00:00+05:30,134.31328012735122,135.5139644180848,129.42916084999297,130.30422973632812,15004107,0.0,0.0
2010-11-15 00:00:00+05:30,130.73158575385423,131.4234951360727,128.228464914752,129.10354614257812,9917395,0.0,0.0
2010-11-16 00:00:00+05:30,130.2431983843194,131.8508928327596,128.6558618882024,129.44952392578125,12100114,0.0,0.0
2010-11-18 00:00:00+05:30,130.08039157445143,133.88593735649656,126.17309329781132,133.0515594482422,23983896,0.0,0.0
2010-11-19 00:00:00+05:30,134.4150809129857,138.3630837159079,133.54001171220332,135.75820922851562,51723739,0.0,0.0
2010-11-22 00:00:00+05:30,136.75531622426476,137.16232609397986,128.20810896024824,135.67674255371094,11494521,0.0,0.0
2010-11-23 00:00:00+05:30,134.51678509724113,135.29010149863132,129.22565588010306,130.30422973632812,13147667,0.0,0.0
2010-11-24 00:00:00+05:30,134.0486893605222,134.0486893605222,126.17304670309007,126.49864959716797,16243562,0.0,0.0
2010-11-25 00:00:00+05:30,127.8011049564949,129.5716004552108,126.62077876433632,127.47550201416016,6489260,0.0,0.0
2010-11-26 00:00:00+05:30,128.2081363646744,128.61514632138764,122.50999697068887,127.27201843261719,13657322,0.0,0.0
2010-11-29 00:00:00+05:30,126.74290445032075,130.1210947145738,125.44047997550219,129.205322265625,6493219,0.0,0.0
2010-11-30 00:00:00+05:30,128.2081290170656,129.83616875061563,126.98709921690306,129.1239013671875,6050064,0.0,0.0
2010-12-01 00:00:00+05:30,129.02217304735527,131.26072810022734,128.20815302812903,130.62986755371094,5053942,0.0,0.0
2010-12-02 00:00:00+05:30,131.13864991654424,132.66493768363176,130.71128188918274,132.21722412109375,6143344,0.0,0.0
2010-12-03 00:00:00+05:30,129.46987436060707,132.5631526268194,129.46987436060707,131.036865234375,2453815,0.0,0.0
2010-12-06 00:00:00+05:30,130.65022963906486,132.23756639347806,129.63270448611263,130.40602111816406,2895539,0.0,0.0
